9/21/2018,81,47,34,0.580246914
9/22/2018,24,12,12,0.5
9/23/2018,22,14,8,0.636363636
9/24/2018,101,58,43,0.574257426
9/25/2018,89,48,41,0.539325843
9/26/2018,85,54,31,0.635294118
9/27/2018,76,43,33,0.565789474
9/28/2018,105,54,51,0.514285714
9/29/2018,25,18,7,0.72
9/30/2018,30,17,13,0.566666667
10/1/2018,112,59,53,0.526785714
10/2/2018,100,41,59,0.41
10/3/2018,90,49,41,0.544444444
10/4/2018,92,44,48,0.47826087
10/5/2018,107,51,56,0.476635514
10/6/2018,31,18,13,0.580645161
10/7/2018,37,24,13,0.648648649
10/8/2018,114,61,53,0.535087719
10/9/2018,122,52,70,0.426229508
10/10/2018,133,49,84,0.368421053
10/11/2018,158,64,94,0.405063291
10/12/2018,141,66,75,0.468085106
10/13/2018,66,24,42,0.363636364
10/14/2018,39,14,25,0.358974359
10/15/2018,107,48,59,0.448598131
10/16/2018,140,70,70,0.5
10/17/2018,132,67,65,0.507575758
10/18/2018,129,69,60,0.534883721
10/19/2018,165,61,104,0.36969697
10/20/2018,42,18,24,0.428571429
10/21/2018,45,19,26,0.422222222
10/22/2018,129,55,74,0.426356589
10/23/2018,219,80,139,0.365296804
10/24/2018,219,93,126,0.424657534
10/25/2018,261,102,159,0.390804598
10/26/2018,221,77,144,0.34841629
10/27/2018,71,26,45,0.366197183
10/28/2018,82,38,44,0.463414634
10/29/2018,218,93,125,0.426605505
10/30/2018,271,116,155,0.42804428
10/31/2018,215,94,121,0.437209302
11/1/2018,265,104,161,0.39245283
11/2/2018,192,76,116,0.395833333
11/3/2018,63,29,34,0.46031746
11/4/2018,65,30,35,0.461538462
11/5/2018,207,112,95,0.541062802
11/6/2018,220,108,112,0.490909091
11/7/2018,225,114,111,0.506666667
11/8/2018,185,88,97,0.475675676
11/9/2018,233,94,139,0.403433476
11/10/2018,102,45,57,0.441176471
11/11/2018,66,33,33,0.5
11/12/2018,7,3,4,0.428571429
11/13/2018,3,1,2,0.333333333
11/14/2018,9,6,3,0.666666667
